DoD_combination, Active pixels, Total volume [mm^3], Deposition volume [mm^3], Scour volume [mm^3], Active area [mm^2]
matrix_bed_norm_q07s1.txt-matrix_bed_norm_q07s0.txt, 33944.000, 235950.000, 5349475.000, -5113525.000, 2356250.000, 
matrix_bed_norm_q07s2.txt-matrix_bed_norm_q07s0.txt, 33962.000, 217750.000, 7698775.000, -7481025.000, 2936500.000, 
matrix_bed_norm_q07s3.txt-matrix_bed_norm_q07s0.txt, 33952.000, -181425.000, 9245050.000, -9426475.000, 3448250.000, 
matrix_bed_norm_q07s4.txt-matrix_bed_norm_q07s0.txt, 33935.000, 84575.000, 10868100.000, -10783525.000, 3804000.000, 
matrix_bed_norm_q07s5.txt-matrix_bed_norm_q07s0.txt, 33939.000, 599300.000, 12087875.000, -11488575.000, 4011250.000, 
matrix_bed_norm_q07s6.txt-matrix_bed_norm_q07s0.txt, 33933.000, 698375.000, 12878275.000, -12179900.000, 4162250.000, 
matrix_bed_norm_q07s7.txt-matrix_bed_norm_q07s0.txt, 33954.000, 971700.000, 14108875.000, -13137175.000, 4487250.000, 
matrix_bed_norm_q07s8.txt-matrix_bed_norm_q07s0.txt, 33918.000, 657050.000, 14627425.000, -13970375.000, 4718000.000, 
matrix_bed_norm_q07s9.txt-matrix_bed_norm_q07s0.txt, 33891.000, -438300.000, 14465375.000, -14903675.000, 4867750.000, 
matrix_bed_norm_q07s2.txt-matrix_bed_norm_q07s1.txt, 33974.000, -35775.000, 4254925.000, -4290700.000, 2017000.000, 
matrix_bed_norm_q07s3.txt-matrix_bed_norm_q07s1.txt, 33965.000, -241700.000, 6880550.000, -7122250.000, 2845250.000, 
matrix_bed_norm_q07s4.txt-matrix_bed_norm_q07s1.txt, 33941.000, -101275.000, 8650525.000, -8751800.000, 3260750.000, 
matrix_bed_norm_q07s5.txt-matrix_bed_norm_q07s1.txt, 33950.000, 380425.000, 10163325.000, -9782900.000, 3544750.000, 
matrix_bed_norm_q07s6.txt-matrix_bed_norm_q07s1.txt, 33948.000, 545025.000, 12011100.000, -11466075.000, 3962000.000, 
matrix_bed_norm_q07s7.txt-matrix_bed_norm_q07s1.txt, 33962.000, 895050.000, 13503025.000, -12607975.000, 4332500.000, 
matrix_bed_norm_q07s8.txt-matrix_bed_norm_q07s1.txt, 33932.000, 572850.000, 13828600.000, -13255750.000, 4503000.000, 
matrix_bed_norm_q07s9.txt-matrix_bed_norm_q07s1.txt, 33900.000, -360825.000, 13935525.000, -14296350.000, 4719000.000, 
matrix_bed_norm_q07s3.txt-matrix_bed_norm_q07s2.txt, 33991.000, -305900.000, 4267600.000, -4573500.000, 1966000.000, 
matrix_bed_norm_q07s4.txt-matrix_bed_norm_q07s2.txt, 33960.000, -144675.000, 6977000.000, -7121675.000, 2713250.000, 
matrix_bed_norm_q07s5.txt-matrix_bed_norm_q07s2.txt, 33969.000, 245850.000, 8995350.000, -8749500.000, 3176500.000, 
matrix_bed_norm_q07s6.txt-matrix_bed_norm_q07s2.txt, 33964.000, 552500.000, 11395800.000, -10843300.000, 3674500.000, 
matrix_bed_norm_q07s7.txt-matrix_bed_norm_q07s2.txt, 33983.000, 844975.000, 13062875.000, -12217900.000, 4071250.000, 
matrix_bed_norm_q07s8.txt-matrix_bed_norm_q07s2.txt, 33950.000, 590425.000, 13532275.000, -12941850.000, 4284750.000, 
matrix_bed_norm_q07s9.txt-matrix_bed_norm_q07s2.txt, 33919.000, -329225.000, 13613900.000, -13943125.000, 4473750.000, 
matrix_bed_norm_q07s4.txt-matrix_bed_norm_q07s3.txt, 33960.000, -69625.000, 5149800.000, -5219425.000, 2197750.000, 
matrix_bed_norm_q07s5.txt-matrix_bed_norm_q07s3.txt, 33968.000, 495700.000, 8063825.000, -7568125.000, 2893000.000, 
matrix_bed_norm_q07s6.txt-matrix_bed_norm_q07s3.txt, 33962.000, 808975.000, 10836500.000, -10027525.000, 3453750.000, 
matrix_bed_norm_q07s7.txt-matrix_bed_norm_q07s3.txt, 33980.000, 1160825.000, 12763450.000, -11602625.000, 3905500.000, 
matrix_bed_norm_q07s8.txt-matrix_bed_norm_q07s3.txt, 33950.000, 1055300.000, 13505650.000, -12450350.000, 4165000.000, 
matrix_bed_norm_q07s9.txt-matrix_bed_norm_q07s3.txt, 33915.000, 230225.000, 13505000.000, -13274775.000, 4350750.000, 
matrix_bed_norm_q07s5.txt-matrix_bed_norm_q07s4.txt, 33948.000, 177300.000, 5080425.000, -4903125.000, 2284500.000, 
matrix_bed_norm_q07s6.txt-matrix_bed_norm_q07s4.txt, 33944.000, 450600.000, 8692650.000, -8242050.000, 3055000.000, 
