DoD_combination, Active pixels, Total volume [mm^3], Deposition volume [mm^3], Scour volume [mm^3], Active area [mm^2]
matrix_bed_norm_q10S1.txt-matrix_bed_norm_q10S0.txt, 34702.000, 198600.000, 6794300.000, -6595700.000, 2654250.000, 
matrix_bed_norm_q10S2.txt-matrix_bed_norm_q10S0.txt, 34718.000, 17250.000, 11131350.000, -11114100.000, 3592250.000, 
matrix_bed_norm_q10S3.txt-matrix_bed_norm_q10S0.txt, 34722.000, -1550.000, 12224225.000, -12225775.000, 3988250.000, 
matrix_bed_norm_q10S4.txt-matrix_bed_norm_q10S0.txt, 34707.000, -389500.000, 11972975.000, -12362475.000, 4036500.000, 
matrix_bed_norm_q10S5.txt-matrix_bed_norm_q10S0.txt, 34706.000, -683375.000, 13106150.000, -13789525.000, 4376500.000, 
matrix_bed_norm_q10S6.txt-matrix_bed_norm_q10S0.txt, 34729.000, -206525.000, 14407975.000, -14614500.000, 4639000.000, 
matrix_bed_norm_q10S7.txt-matrix_bed_norm_q10S0.txt, 34702.000, -219825.000, 14923250.000, -15143075.000, 4735750.000, 
matrix_bed_norm_q10S8.txt-matrix_bed_norm_q10S0.txt, 34727.000, -218550.000, 15699475.000, -15918025.000, 5002750.000, 
matrix_bed_norm_q10S9.txt-matrix_bed_norm_q10S0.txt, 34641.000, -1692350.000, 15364850.000, -17057200.000, 5060500.000, 
matrix_bed_norm_q10S2.txt-matrix_bed_norm_q10S1.txt, 34718.000, -224275.000, 7588000.000, -7812275.000, 2975250.000, 
matrix_bed_norm_q10S3.txt-matrix_bed_norm_q10S1.txt, 34715.000, -199400.000, 10172000.000, -10371400.000, 3663250.000, 
matrix_bed_norm_q10S4.txt-matrix_bed_norm_q10S1.txt, 34714.000, -761625.000, 10175275.000, -10936900.000, 3745250.000, 
matrix_bed_norm_q10S5.txt-matrix_bed_norm_q10S1.txt, 34701.000, -1020725.000, 11045750.000, -12066475.000, 4092000.000, 
matrix_bed_norm_q10S6.txt-matrix_bed_norm_q10S1.txt, 34722.000, -545700.000, 12102550.000, -12648250.000, 4273250.000, 
matrix_bed_norm_q10S7.txt-matrix_bed_norm_q10S1.txt, 34699.000, -570325.000, 12902875.000, -13473200.000, 4412750.000, 
matrix_bed_norm_q10S8.txt-matrix_bed_norm_q10S1.txt, 34726.000, -662500.000, 13587100.000, -14249600.000, 4694500.000, 
matrix_bed_norm_q10S9.txt-matrix_bed_norm_q10S1.txt, 34648.000, -2176425.000, 13576250.000, -15752675.000, 4862500.000, 
matrix_bed_norm_q10S3.txt-matrix_bed_norm_q10S2.txt, 34751.000, -64650.000, 6861600.000, -6926250.000, 2735500.000, 
