  section         X    mean y
        1      -440       0.4
        2      -390       0.3
        3      -340       0.0
        4      -290       0.0
        5      -240      -1.0
        6      -190      -0.9
        7      -140      -1.7
        8       -90      -0.8
        9       -40      -0.6
       10        10      -1.1
       11        60      -0.3
       12       110      -1.2
       13       160      -0.8
       14       210      -1.1
       15       260      -0.5
       16       310      -0.3
       17       360      -1.0
       18       410      -1.5
       19       460      -2.3
       20       510      -2.1
       21       560      -2.1
       22       610      -2.2
       23       660      -1.9
       24       710      -1.9
       25       760      -1.0
       26       810      -1.1
       27       860      -0.6
       28       910      -0.3
       29       960      -0.9
       30      1010      -1.0
       31      1060      -1.1
       32      1110      -0.4
       33      1160      -0.4
       34      1210      -0.8
       35      1260      -0.1
       36      1310      -0.1
       37      1360       0.3
       38      1410      -0.1
       39      1460      -0.4
       40      1510       0.0
       41      1560       0.3
       42      1610       1.2
       43      1660       0.9
       44      1710       0.9
       45      1760       0.9
       46      1810       0.0
       47      1860       0.5
       48      1910       0.0
       49      1960       0.2
       50      2010      -1.0
       51      2060      -0.7
       52      2110      -0.6
       53      2160      -0.3
       54      2210       0.4
       55      2260       0.5
       56      2310       0.8
       57      2360       0.7
       58      2410       1.1
       59      2460       0.5
       60      2510       0.0
       61      2560       1.0
       62      2610       1.7
       63      2660       2.0
       64      2710       2.1
       65      2760       2.1
       66      2810       1.5
       67      2860       1.7
       68      2910       0.9
       69      2960       1.3
       70      3010       0.5
       71      3060       0.8
       72      3110       0.1
       73      3160       0.7
       74      3210       0.4
       75      3260       0.3
       76      3310       0.5
       77      3360       0.6
       78      3410       0.9
       79      3460       1.3
       80      3510       1.7
       81      3560       1.8
       82      3610       2.8
       83      3660       2.4
       84      3710       2.8
       85      3760       2.8
       86      3810       3.3
       87      3860       2.8
       88      3910       3.0
       89      3960       2.6
       90      4010       2.6
       91      4060       2.6
       92      4110       2.4
       93      4160       2.7
       94      4210       2.3
       95      4260       2.1
       96      4310       2.0
       97      4360       2.1
       98      4410       1.8
       99      4460       1.8
      100      4510       1.3
      101      4560       1.4
      102      4610       1.8
      103      4660       2.0
      104      4710       1.9
      105      4760       1.6
      106      4810       1.9
      107      4860       2.0
      108      4910       2.2
      109      4960       2.5
      110      5010       2.1
      111      5060       2.5
      112      5110       1.9
      113      5160       2.5
      114      5210       2.2
      115      5260       2.8
      116      5310       2.0
      117      5360       2.6
      118      5410       1.7
      119      5460       2.4
      120      5510       1.9
      121      5560       2.4
      122      5610       1.8
      123      5660       1.5
      124      5710       1.4
      125      5760       1.0
      126      5810       0.7
      127      5860       1.0
      128      5910       1.3
      129      5960       1.0
      130      6010       1.5
      131      6060       1.3
      132      6110       2.1
      133      6160       1.8
      134      6210       1.8
      135      6260       1.3
      136      6310       1.5
      137      6360       1.4
      138      6410       1.7
      139      6460       0.9
      140      6510       0.9
      141      6560       1.0
      142      6610       1.4
      143      6660       1.3
      144      6710       1.2
      145      6760       0.4
      146      6810      -1.3
      147      6860      -0.6
      148      6910      -0.3
      149      6960       0.2
      150      7010      -0.4
      151      7060      -1.0
      152      7110      -1.3
      153      7160      -0.6
      154      7210      -1.5
      155      7260      -1.5
      156      7310      -1.5
      157      7360      -0.6
      158      7410      -0.6
      159      7460       1.0
      160      7510       1.4
      161      7560       1.8
      162      7610       1.9
      163      7660       1.7
      164      7710       1.7
      165      7760       1.7
      166      7810       1.4
      167      7860       0.9
      168      7910       0.7
      169      7960      -0.3
      170      8010      -0.9
      171      8060      -1.7
      172      8110      -1.2
      173      8160      -1.1
      174      8210      -0.9
      175      8260      -0.5
      176      8310      -1.0
      177      8360      -0.2
      178      8410      -0.9
      179      8460       0.0
      180      8510      -0.8
      181      8560      -0.8
      182      8610      -0.7
      183      8660       0.1
      184      8710      -0.1
      185      8760      -0.1
      186      8810       1.2
      187      8860       1.3
      188      8910       2.6
      189      8960       1.5
      190      9010       1.9
      191      9060       1.8
      192      9110       1.2
      193      9160       1.3
      194      9210       0.7
      195      9260       0.9
      196      9310       0.7
      197      9360       0.9
      198      9410       0.5
      199      9460       0.7
      200      9510       0.2
      201      9560       0.6
      202      9610       0.8
      203      9660       0.4
      204      9710       0.6
      205      9760       0.2
      206      9810       0.6
      207      9860       0.1
      208      9910      -0.4
      209      9960       0.3
      210     10010       0.3
      211     10060       0.4
      212     10110       0.6
      213     10160       0.6
      214     10210       0.7
      215     10260       1.0
      216     10310       0.6
      217     10360       0.5
      218     10410       0.4
      219     10460       0.0
      220     10510       0.4
      221     10560      -0.5
      222     10610      -0.2
      223     10660      -0.6
      224     10710      -0.3
      225     10760      -0.6
      226     10810      -1.2
      227     10860      -1.0
      228     10910      -1.8
      229     10960      -1.2
      230     11010      -2.1
      231     11060      -2.6
      232     11110      -2.7
      233     11160      -2.7
      234     11210      -2.3
      235     11260      -2.9
      236     11310      -2.5
      237     11360      -2.9
      238     11410      -2.8
      239     11460      -2.8
      240     11510      -3.0
      241     11560      -2.2
      242     11610      -3.0
      243     11660      -2.6
      244     11710      -2.8
