  section         X    mean y
        1      -440       2.3
        2      -390       2.2
        3      -340       1.9
        4      -290       2.3
        5      -240       1.6
        6      -190       1.7
        7      -140       2.0
        8       -90       2.4
        9       -40       3.0
       10        10       2.7
       11        60       2.6
       12       110       2.4
       13       160       1.7
       14       210       1.0
       15       260      -0.2
       16       310      -0.5
       17       360      -1.1
       18       410      -1.0
       19       460      -0.4
       20       510      -0.3
       21       560      -0.5
       22       610      -0.8
       23       660      -0.2
       24       710      -0.1
       25       760       0.4
       26       810       0.9
       27       860       1.1
       28       910       1.3
       29       960       1.4
       30      1010       1.4
       31      1060       2.3
       32      1110       2.3
       33      1160       2.5
       34      1210       2.8
       35      1260       3.0
       36      1310       3.3
       37      1360       3.1
       38      1410       2.9
       39      1460       3.4
       40      1510       3.2
       41      1560       3.4
       42      1610       3.0
       43      1660       2.6
       44      1710       2.0
       45      1760       2.1
       46      1810       2.5
       47      1860       2.7
       48      1910       2.5
       49      1960       2.7
       50      2010       2.9
       51      2060       2.9
       52      2110       2.6
       53      2160       2.6
       54      2210       2.4
       55      2260       1.6
       56      2310       2.0
       57      2360       1.9
       58      2410       2.0
       59      2460       1.8
       60      2510       1.5
       61      2560       1.5
       62      2610       0.9
       63      2660       1.1
       64      2710       1.0
       65      2760       1.0
       66      2810       1.1
       67      2860       0.8
       68      2910       1.3
       69      2960       0.9
       70      3010       1.4
       71      3060       0.7
       72      3110       1.5
       73      3160       1.4
       74      3210       1.4
       75      3260       1.7
       76      3310       1.5
       77      3360       1.5
       78      3410       1.4
       79      3460       1.7
       80      3510       1.5
       81      3560       1.7
       82      3610       1.4
       83      3660       1.5
       84      3710       1.4
       85      3760       1.4
       86      3810       1.9
       87      3860       1.3
       88      3910       1.1
       89      3960       0.6
       90      4010       1.0
       91      4060       0.3
       92      4110       0.5
       93      4160       0.0
       94      4210      -0.3
       95      4260       0.0
       96      4310       0.1
       97      4360       0.9
       98      4410       0.5
       99      4460       1.0
      100      4510       1.1
      101      4560       1.2
      102      4610       1.1
      103      4660       0.1
      104      4710       0.8
      105      4760       1.2
      106      4810       1.5
      107      4860       1.9
      108      4910       1.4
      109      4960       0.6
      110      5010      -0.1
      111      5060       0.0
      112      5110       0.6
      113      5160       0.2
      114      5210       1.0
      115      5260       0.6
      116      5310       0.8
      117      5360       0.1
      118      5410       0.2
      119      5460       0.4
      120      5510       0.3
      121      5560       0.9
      122      5610       1.3
      123      5660       1.4
      124      5710       0.9
      125      5760       0.6
      126      5810      -0.7
      127      5860      -1.3
      128      5910      -0.9
      129      5960      -0.2
      130      6010      -0.2
      131      6060      -0.5
      132      6110       0.1
      133      6160      -0.2
      134      6210      -0.1
      135      6260      -0.5
      136      6310      -0.8
      137      6360      -0.1
      138      6410      -0.5
      139      6460      -0.9
      140      6510      -0.3
      141      6560      -0.6
      142      6610       0.0
      143      6660       0.3
      144      6710       0.3
      145      6760       0.9
      146      6810       1.2
      147      6860       1.7
      148      6910       2.2
      149      6960       1.7
      150      7010       2.0
      151      7060       1.8
      152      7110       1.2
      153      7160       1.2
      154      7210       1.1
      155      7260       1.4
      156      7310       1.3
      157      7360       1.1
      158      7410       1.7
      159      7460       0.7
      160      7510       0.3
      161      7560       0.4
      162      7610       0.9
      163      7660       1.9
      164      7710       3.0
      165      7760       2.7
      166      7810       2.5
      167      7860       1.4
      168      7910       0.9
      169      7960       0.7
      170      8010      -0.4
      171      8060      -0.3
      172      8110      -0.5
      173      8160      -0.7
      174      8210      -0.6
      175      8260      -1.1
      176      8310      -0.5
      177      8360      -0.6
      178      8410      -1.0
      179      8460      -0.8
      180      8510      -0.6
      181      8560      -0.7
      182      8610      -0.6
      183      8660      -0.9
      184      8710      -0.6
      185      8760       0.0
      186      8810      -0.6
      187      8860      -0.2
      188      8910      -0.7
      189      8960      -1.2
      190      9010      -0.8
      191      9060      -1.0
      192      9110       0.1
      193      9160       0.7
      194      9210      -0.3
      195      9260      -0.7
      196      9310      -1.2
      197      9360      -1.9
      198      9410      -3.1
      199      9460      -4.1
      200      9510      -3.3
      201      9560      -3.8
      202      9610      -3.3
      203      9660      -2.9
      204      9710      -3.6
      205      9760      -3.7
      206      9810      -3.4
      207      9860      -3.7
      208      9910      -3.0
      209      9960      -3.0
      210     10010      -2.8
      211     10060      -1.8
      212     10110      -2.2
      213     10160      -2.0
      214     10210      -1.4
      215     10260      -2.1
      216     10310      -1.9
      217     10360      -2.0
      218     10410      -1.1
      219     10460      -0.3
      220     10510      -0.9
      221     10560      -1.4
      222     10610      -0.3
      223     10660      -0.8
      224     10710      -0.8
      225     10760      -0.3
      226     10810      -0.6
      227     10860      -0.4
      228     10910      -1.4
      229     10960      -1.2
      230     11010      -1.9
      231     11060      -1.8
      232     11110      -1.5
      233     11160      -1.5
      234     11210       0.1
      235     11260      -0.5
      236     11310      -0.9
      237     11360      -0.6
      238     11410      -1.7
      239     11460      -1.5
      240     11510      -1.0
      241     11560      -1.4
      242     11610      -0.8
      243     11660      -1.5
      244     11710      -1.3
      245     11760      -0.9
      246     11810      -1.6
      247     11860      -0.9
      248     11910      -2.4
      249     11960      -2.3
      250     12010      -2.1
      251     12060      -2.5
      252     12110      -2.6
      253     12160      -2.6
      254     12210      -2.6
      255     12260      -2.3
      256     12310      -2.9
      257     12360      -2.5
      258     12410      -3.2
      259     12460      -2.5
      260     12510      -2.6
      261     12560      -3.1
      262     12610      -2.8
      263     12660      -3.6
      264     12710      -3.5
      265     12760      -3.4
      266     12810      -3.4
      267     12860      -2.8
      268     12910      -3.4
      269     12960      -3.0
      270     13010      -2.9
      271     13060      -3.1
      272     13110      -2.7
      273     13160      -2.8
      274     13210      -2.8
      275     13260      -3.4
      276     13310      -3.2
      277     13360      -3.2
      278     13410      -3.3
      279     13460      -3.2
