  section         X    mean y
        1      -440      -1.7
        2      -390      -1.0
        3      -340      -1.4
        4      -290      -0.6
        5      -240      -1.0
        6      -190      -0.1
        7      -140      -0.4
        8       -90       0.0
        9       -40      -0.1
       10        10       0.1
       11        60       0.2
       12       110       0.6
       13       160       0.3
       14       210       0.3
       15       260       0.3
       16       310       0.5
       17       360       0.6
       18       410       0.4
       19       460       0.1
       20       510       0.1
       21       560       0.2
       22       610      -0.6
       23       660       0.0
       24       710      -0.7
       25       760       0.4
       26       810       0.2
       27       860       1.0
       28       910       0.4
       29       960       0.9
       30      1010       0.4
       31      1060       0.8
       32      1110       0.8
       33      1160       1.6
       34      1210       1.1
       35      1260       1.6
       36      1310       0.8
       37      1360       0.7
       38      1410       0.1
       39      1460       0.5
       40      1510      -0.4
       41      1560       0.3
       42      1610      -0.6
       43      1660      -0.1
       44      1710      -0.7
       45      1760      -0.6
       46      1810      -1.1
       47      1860      -0.9
       48      1910      -0.7
       49      1960      -0.2
       50      2010      -0.1
       51      2060      -0.1
       52      2110       0.1
       53      2160      -0.4
       54      2210      -0.3
       55      2260      -0.2
       56      2310       0.0
       57      2360       0.1
       58      2410       0.3
       59      2460       0.1
       60      2510       0.3
       61      2560       0.3
       62      2610       0.9
       63      2660       0.5
       64      2710       0.8
       65      2760       0.4
       66      2810       1.1
       67      2860       0.9
       68      2910       1.6
       69      2960       1.6
       70      3010       2.1
       71      3060       1.1
       72      3110       1.7
       73      3160       1.0
       74      3210       1.1
       75      3260       0.6
       76      3310       0.9
       77      3360       0.1
       78      3410       0.8
       79      3460      -0.3
       80      3510       0.1
       81      3560      -0.6
       82      3610      -0.5
       83      3660      -1.2
       84      3710      -0.5
       85      3760      -1.0
       86      3810      -0.1
       87      3860       0.2
       88      3910       0.5
       89      3960       0.4
       90      4010       0.5
       91      4060       1.3
       92      4110       1.5
       93      4160       1.5
       94      4210       1.4
       95      4260       1.1
       96      4310       1.0
       97      4360       2.1
       98      4410       2.5
       99      4460       2.0
      100      4510       1.1
      101      4560       1.5
      102      4610       0.8
      103      4660       1.4
      104      4710       0.3
      105      4760       0.9
      106      4810       0.0
      107      4860      -0.1
      108      4910      -0.9
      109      4960      -0.4
      110      5010      -0.8
      111      5060      -0.2
      112      5110      -0.5
      113      5160       0.1
      114      5210      -0.6
      115      5260      -0.4
      116      5310      -0.4
      117      5360      -0.6
      118      5410      -0.4
      119      5460      -0.6
      120      5510      -0.1
      121      5560      -0.1
      122      5610       0.5
      123      5660       0.5
      124      5710       0.7
      125      5760       0.2
      126      5810       0.8
      127      5860      -0.1
      128      5910       0.7
      129      5960       0.5
      130      6010       0.6
      131      6060       0.4
      132      6110       0.7
      133      6160       0.3
      134      6210       1.1
      135      6260       1.2
      136      6310       1.4
      137      6360       0.7
      138      6410       0.6
      139      6460       0.5
      140      6510       0.7
      141      6560       0.6
      142      6610       0.6
      143      6660       0.9
      144      6710       0.2
      145      6760       0.8
      146      6810      -0.3
      147      6860       0.3
      148      6910      -0.4
      149      6960       0.0
      150      7010      -0.7
      151      7060      -0.4
      152      7110      -0.6
      153      7160       0.1
      154      7210      -0.2
      155      7260       0.6
      156      7310       0.3
      157      7360       1.2
      158      7410       0.8
      159      7460       1.0
      160      7510       1.0
      161      7560       1.4
      162      7610       1.0
      163      7660       1.6
      164      7710       3.0
      165      7760       2.3
      166      7810       3.3
      167      7860       3.0
      168      7910       3.3
      169      7960       2.2
      170      8010       2.8
      171      8060       2.1
      172      8110       2.7
      173      8160       3.2
      174      8210       3.7
      175      8260       2.9
      176      8310       2.8
      177      8360       1.6
      178      8410       1.0
      179      8460       0.2
      180      8510      -0.1
      181      8560      -0.2
      182      8610      -0.3
      183      8660       0.5
      184      8710       0.7
      185      8760       1.4
      186      8810       0.8
      187      8860       1.1
      188      8910       0.3
      189      8960       0.1
      190      9010      -0.1
      191      9060      -0.2
      192      9110      -0.6
      193      9160      -0.7
      194      9210      -1.0
      195      9260      -1.9
      196      9310      -1.8
      197      9360      -1.6
      198      9410      -0.6
      199      9460      -0.9
      200      9510      -0.1
      201      9560      -0.9
      202      9610      -0.5
      203      9660      -1.0
      204      9710      -0.7
      205      9760      -1.1
      206      9810      -0.9
      207      9860      -2.1
      208      9910      -1.5
      209      9960      -1.1
      210     10010      -0.7
      211     10060       0.0
      212     10110      -0.2
      213     10160       0.1
      214     10210      -0.6
      215     10260      -1.0
      216     10310      -1.3
      217     10360       0.1
      218     10410      -0.2
      219     10460       0.9
      220     10510       0.8
      221     10560       1.1
      222     10610       0.5
      223     10660       1.1
      224     10710       0.3
      225     10760       0.1
      226     10810      -0.2
      227     10860       0.0
      228     10910       0.4
      229     10960       0.2
      230     11010       0.1
      231     11060       0.1
      232     11110       0.6
      233     11160      -0.2
      234     11210      -0.1
      235     11260      -0.6
      236     11310      -0.2
      237     11360      -1.2
      238     11410      -0.4
      239     11460      -1.1
