  section         X    mean y
        1      -440       1.7
        2      -390       1.2
        3      -340       1.5
        4      -290       1.4
        5      -240       1.6
        6      -190       1.9
        7      -140       2.1
        8       -90       2.5
        9       -40       3.1
       10        10       3.1
       11        60       3.3
       12       110       3.1
       13       160       3.3
       14       210       3.4
       15       260       2.8
       16       310       2.8
       17       360       2.2
       18       410       2.2
       19       460       1.9
       20       510       1.7
       21       560       1.6
       22       610       1.3
       23       660       1.5
       24       710       1.2
       25       760       2.0
       26       810       2.1
       27       860       2.1
       28       910       2.6
       29       960       2.6
       30      1010       2.7
       31      1060       2.3
       32      1110       2.3
       33      1160       2.0
       34      1210       1.8
       35      1260       1.6
       36      1310       1.6
       37      1360       1.7
       38      1410       1.4
       39      1460       1.3
       40      1510       1.3
       41      1560       1.1
       42      1610       0.7
       43      1660       0.8
       44      1710       1.1
       45      1760       1.0
       46      1810       0.9
       47      1860       0.5
       48      1910       0.3
       49      1960      -0.2
       50      2010      -0.5
       51      2060      -0.8
       52      2110      -0.7
       53      2160      -0.9
       54      2210      -0.9
       55      2260      -0.5
       56      2310      -0.3
       57      2360      -0.9
       58      2410      -0.3
       59      2460      -0.5
       60      2510      -0.4
       61      2560       0.0
       62      2610      -0.1
       63      2660       0.2
       64      2710       0.9
       65      2760       0.9
       66      2810       0.5
       67      2860       0.4
       68      2910       0.3
       69      2960       0.5
       70      3010       0.4
       71      3060       0.6
       72      3110       0.7
       73      3160       0.9
       74      3210       1.2
       75      3260       1.2
       76      3310       1.7
       77      3360       1.9
       78      3410       1.8
       79      3460       1.9
       80      3510       1.8
       81      3560       2.1
       82      3610       1.7
       83      3660       1.5
       84      3710       1.4
       85      3760       1.2
       86      3810       0.8
       87      3860       0.2
       88      3910      -0.7
       89      3960      -0.6
       90      4010      -1.2
       91      4060      -1.0
       92      4110      -0.8
       93      4160      -1.1
       94      4210      -1.0
       95      4260      -1.1
       96      4310      -0.9
       97      4360      -0.9
       98      4410      -1.3
       99      4460      -2.0
      100      4510      -1.9
      101      4560      -1.6
      102      4610      -1.4
      103      4660      -1.3
      104      4710      -1.7
      105      4760      -1.7
      106      4810      -1.3
      107      4860      -0.9
      108      4910      -0.6
      109      4960      -0.6
      110      5010      -0.6
      111      5060      -0.3
      112      5110       0.2
      113      5160       0.0
      114      5210       0.1
      115      5260       0.4
      116      5310       0.4
      117      5360       0.7
      118      5410       0.8
      119      5460       0.9
      120      5510       0.6
      121      5560       0.6
      122      5610       0.8
      123      5660       0.7
      124      5710       0.5
      125      5760       0.0
      126      5810      -0.5
      127      5860      -0.8
      128      5910      -0.9
      129      5960      -0.3
      130      6010      -0.5
      131      6060      -0.3
      132      6110      -0.6
      133      6160      -0.9
      134      6210      -0.5
      135      6260      -0.4
      136      6310      -1.1
      137      6360      -0.8
      138      6410      -0.2
      139      6460       0.3
      140      6510       0.6
      141      6560       0.9
      142      6610       0.9
      143      6660       0.8
      144      6710       1.2
      145      6760       1.4
      146      6810       1.4
      147      6860       1.3
      148      6910       1.5
      149      6960       1.7
      150      7010       1.4
      151      7060       1.6
      152      7110       1.4
